Beacon ID,Country Code,Time,Priority,Triggering Event,Latitude,Lat Heading,Longitude,Long Heading,Altitude,Boolean Flags,Tx Sequence,Rx Sequence,Field ID,Message Number,Heart Rate,Heart Monitor battery,SAFE-T battery,decLat,decLong
'07E6,'016E,'00000000000021,L,A,0,N,0,E,0,'0090,'01,'00,'04,'01,'00,'00,'64,0,0
'07E6,'016E,'00000000001521,L,A,0,N,0,E,0,'0090,'02,'00,'04,'01,'00,'00,'63,0,0
'07E6,'016E,'00000000003021,L,A,0,N,0,E,0,'0090,'03,'00,'04,'01,'00,'00,'60,0,0
'07E6,'016E,'00000000004521,L,A,0,N,0,E,0,'0090,'04,'00,'04,'01,'00,'00,'5E,0,0
'07E6,'016E,'00000000010021,L,A,0,N,0,E,0,'0090,'05,'00,'04,'01,'00,'00,'5A,0,0
'07E6,'016E,'00000000011521,L,A,0,N,0,E,0,'0090,'06,'00,'04,'01,'00,'00,'5A,0,0
'07E6,'016E,'00000000013021,L,A,0,N,0,E,0,'0090,'07,'00,'04,'01,'00,'00,'58,0,0
'07E6,'016E,'00000000014521,L,A,0,N,0,E,0,'0090,'08,'00,'04,'01,'00,'00,'55,0,0
'07E6,'016E,'00000000020021,L,A,0,N,0,E,0,'0090,'09,'00,'04,'01,'00,'00,'53,0,0
'07E6,'016E,'00000000021521,L,A,0,N,0,E,0,'0090,'0A,'00,'04,'01,'00,'00,'52,0,0
'07E6,'016E,'00000000023021,L,A,0,N,0,E,0,'0090,'0B,'00,'04,'01,'00,'00,'50,0,0
'07E6,'016E,'00000000024521,L,A,0,N,0,E,0,'0090,'0C,'00,'04,'01,'00,'00,'4F,0,0
'07E6,'016E,'00000000030021,L,A,0,N,0,E,0,'0090,'0D,'00,'04,'01,'00,'00,'4D,0,0
'07E6,'016E,'00000000031521,L,A,0,N,0,E,0,'0090,'0E,'00,'04,'01,'00,'00,'4B,0,0
'07E6,'016E,'00000000033021,L,A,0,N,0,E,0,'0090,'0F,'00,'04,'01,'00,'00,'48,0,0
'07E6,'016E,'00000000034521,L,A,0,N,0,E,0,'0090,'10,'00,'04,'01,'00,'00,'46,0,0
'07E6,'016E,'00000000040021,L,A,0,N,0,E,0,'0090,'11,'00,'04,'01,'00,'00,'45,0,0
